gene_id	476822_S10
ER3413_2233	2278
ER3413_2234	1273
ER3413_2235	3981
ER3413_2236	1915
ER3413_2237	1629
ER3413_2239	88
ER3413_224	543
ER3413_2240	2039
ER3413_2242	715
ER3413_2243	3485
ER3413_2244	1566
ER3413_2245	1532
ER3413_2246	821
ER3413_2247	2429
ER3413_2248	4204
ER3413_2249	2277
ER3413_225	8708
ER3413_2250	2735
ER3413_2251	3151
ER3413_2252	345
ER3413_2253	4467
ER3413_2254	715
ER3413_2255	4091
ER3413_2256	253
ER3413_2257	1999
ER3413_2259	116
ER3413_226	1156
ER3413_2260	3521
ER3413_2261	0
ER3413_2263	17529.58
ER3413_2264	504
ER3413_2265	1967
ER3413_2266	800
ER3413_2267	5655
ER3413_2268	877
ER3413_2269	147
ER3413_227	6780
ER3413_2270	1571
ER3413_2271	886
ER3413_2272	854
ER3413_2273	479
ER3413_2274	316
ER3413_2275	1324
ER3413_2276	2566
ER3413_2277	6761
ER3413_2278	115
ER3413_2279	925
ER3413_228	6519
ER3413_2280	13
ER3413_2281	738
ER3413_2282	3892
ER3413_2283	3563
ER3413_2284	962
ER3413_2285	2398
ER3413_2286	2187
ER3413_2287	3953
ER3413_2288	5419
ER3413_2289	1382
ER3413_229	1113
ER3413_2290	5251
ER3413_2291	4830
ER3413_2292	3083
ER3413_2293	1503
ER3413_2294	822
ER3413_2295	2266
ER3413_2296	2431
ER3413_2297	1410
ER3413_2298	4640
ER3413_23	1823
ER3413_230	435
ER3413_2301	936
ER3413_2302	3220
ER3413_2303	5096
ER3413_2304	1604
ER3413_2305	9625
ER3413_2306	4407
ER3413_2307	1463
ER3413_2308	78
ER3413_2309	1416
ER3413_231	7826
ER3413_2311	2083
ER3413_2312	4314
ER3413_2313	1
ER3413_2314	1
ER3413_2315	3
ER3413_2317	1
ER3413_2318	0
ER3413_2319	2
ER3413_232	4812
ER3413_2320	3
ER3413_2321	0
